L1,L2,Label,TitleLv,TitleEn,DescriptionLv,Domain,ConceptGroup,GradeGroup,TopicRefs,SeeAlso,Notes
1,0,NumberSystems,Skaitļu kopas un daudzumi,Number systems and quantities,"Skaitļu kopas, ar kurām uzdevums strādā, un pamata kvantitatīvās struktūras (daļas, procenti, attiecības). Formulējuma frāze ""naturāls skaitlis"", ""vesels skaitlis"" u.tml. uzreiz nosaka spēles laukumu.",NT,NumberSystems,,NumTheory;Algebra,,
1,1,PositiveIntegers,Naturālo skaitļu kopa,Positive integers,"Skaitļi 1, 2, 3, ... — kopa $\mathbb{N}$. Daudzi olimpiāžu uzdevumi sākas ar frāzi ""dots naturāls skaitlis"", un šī izvēle uzreiz nosaka, ka aplūkojami tikai veseli pozitīvi skaitļi.",NT,NumberSystems,GR_4_6,NumTheory,DOM_SpecialNumbers,
1,2,WholeIntegers,Veselo skaitļu kopa,Integers,"Naturālo skaitļu, nulles un negatīvo veselo skaitļu kopa $\mathbb{Z} = \{\ldots, -2, -1, 0, 1, 2, \ldots\}$. Vajadzīga gan vienādojumu risināšanā, gan ""bilances"" tipa uzdevumos.",NT,NumberSystems,GR_4_6,NumTheory,,
1,3,RationalNumbers,Racionālo skaitļu kopa,Rational numbers,"Skaitļi formā $a/b$, kur $a, b$ ir veseli un $b \neq 0$. Olimpiāžu uzdevumos parādās gan kā parastas daļas, gan kā decimāldaļas, gan kā jaukti skaitļi — visas šīs ir vienas un tās pašas struktūras dažādas reprezentācijas.",NT,NumberSystems,GR_4_6,RationalNumbersAsDecimal;FractionsRatiosPercent,DOM_NumberRepresentation,
1,4,IrrationalAndReals,"Reālo skaitļu kopa, iracionālie skaitļi",Real numbers and irrationals,"Reālie skaitļi $\mathbb{R}$ ietver gan racionālos, gan tādus kā $\sqrt{2}$ vai $\pi$. Skolēnam svarīgi atpazīt, kad uzdevumā parādās iracionalitātes pierādījums (piem., $\sqrt{2}$ nav racionāls).",NT,NumberSystems,GR_7_9,IrrationalNumbers,DOM_NumberRepresentation,
1,5,PositiveAndNegative,"Pozitīvi un negatīvi skaitļi, skaitļa modulis","Positive, negative numbers and absolute value","Skaitļa zīme un modulis $|x|$ kā attālums no nulles. Daudzi uzdevumi prasa atsevišķi aplūkot pozitīvus, negatīvus un nulles gadījumus.",NT,NumberSystems,GR_4_6,ModulusFunctionProperties,NumberLineCoordinate,
1,6,FractionOfQuantity,Daļa no lieluma,Fraction of a quantity,"Lieluma daļa (puse, trešdaļa, trīs ceturtdaļas) kā reizināšanas struktūra: zināma daļa un tās vērtība ļauj atjaunot visu lielumu. Bieža teksta uzdevumu ""neredzamā"" struktūra.",Alg,NumberSystems,GR_4_6,FractionsRatiosPercent,DOM_WordProblems;PercentConcept,
1,7,PercentConcept,Procenti,Percentages,"Procents kā simtā daļa no bāzes lieluma. Uzdevuma lasīšanā izšķiroši pamanīt, no kuras bāzes procents tiek rēķināts (īpaši secīgu izmaiņu situācijās).",Alg,NumberSystems,GR_4_6,FractionsRatiosPercent,DOM_WordProblems;FractionOfQuantity,
1,8,RatioProportion,Attiecība un proporcija,Ratio and proportion,"Divu lielumu attiecība $a:b$ un vienādu attiecību vienādība (proporcija). Ļauj no formulējuma ""dalīt attiecībā"" pāriet uz daļu vai vienādojuma modeli.",Alg,NumberSystems,GR_4_6,FractionsRatiosPercent,DirectProportion,
1,9,IntegerPartFloor,Veselā daļa un daļveida daļa,Integer part (floor) and fractional part,"Skaitļa $x$ veselā daļa $\lfloor x \rfloor$ un daļveida daļa $\{x\}$. Parādās uzdevumos par noapaļošanu, dalīšanu ar atlikumu un skaitīšanu intervālos.",NT,NumberSystems,GR_OLY,,DivisionWithRemainder,
