Label,TitleLv,TitleEn,DescriptionLv,Domain,ConceptGroup,GradeLevel,MethodRef,TopicRefs,ConceptRefs,Notes
MDL_LinearRelationBetweenQuantities,Lineāra sakarība starp diviem (vairākiem) lielumiem,Linear relationship between quantities,"Sakarība formā $y = kx + b$ (vai $y = kx$ — proporcionalitāte). Apvieno standarta tematus par ceļa-laika-ātruma uzdevumiem ($s = vt$), cenas-skaita-samaksas uzdevumiem, kā arī olimpiāžu uzdevumus ar nezināmiem koeficientiem. Tipiska pazīme: ja viens lielums palielinās par konstanti, otrs arī mainās par konstanti.",Alg,Functions,GR_7_9,MTH_AlgebraicModel,instanceOf:AlgebraicTransformations;usedIn:FormingEquations,LinearFunction;DirectProportion,Bija: LinearRelationBetweenQuantities.
MDL_DistanceTimeSpeed,Ceļš = ātrums × laiks,Distance equals speed times time,"Klasiskais kustības modelis: $s = vt$. Ietver gan vienkāršus aprēķinus, gan satikšanās, panākšanas, cikliskus (ap apli) un peldēšanas (pa straumi/pret straumi) uzdevumus. Bieži vairāku objektu kustība tiek modelēta kā vienādojumu sistēma.",Alg,Functions,GR_4_6,MTH_AlgebraicModel,instanceOf:AlgebraicTransformations;usedIn:FormingEquations,MotionSpeedTime,Bija: DistanceTimeSpeed.
MDL_ProportionsAndRatios,Proporcijas un attiecības,Proportions and ratios,"Kopuma sadalījums daļās noteiktā attiecībā $a:b:c$, ekvivalentās proporcijas $\frac{a}{b} = \frac{c}{d}$, lielumu salīdzināšana caur attiecībām. Iekļauj recepšu, kausējumu, sastāvdaļu uzdevumus.",Alg,Functions,GR_4_6,MTH_AlgebraicModel,instanceOf:AlgebraicTransformations,RatioProportion;FractionOfQuantity,Bija: ProportionsAndRatios.
MDL_PercentagesAsRatios,Procenti kā attiecības un izmaiņas,Percentages as ratios and changes,"Procentu lietošana, lai aprēķinātu daļu no veselā, pamatu no daļas, vai izmaiņas (palielināšana par n%, samazināšana, vairākkārtējas izmaiņas). Saistīts arī ar finanšu uzdevumiem (atlaides, procentu likmes).",Alg,Functions,GR_4_6,MTH_AlgebraicModel,instanceOf:AlgebraicTransformations,PercentConcept;RatioProportion,Bija: PercentagesAsRatios.
MDL_SystemOfTwoEquations,Vienādojumu sistēma ar diviem nezināmiem,System of two linear equations,"Divu vienādojumu sistēma ar diviem nezināmajiem $x, y$. Atrisina ar substitūcijas vai saskaitīšanas metodi. Tipiski parādās uzdevumos par ""cik bija X un cik Y"" (govis/zosis ar kopā tik kāju, jaunie/vecie biļetes utt.).",Alg,EquationsAndInequalities,GR_7_9,MTH_AlgebraicModel,instanceOf:EquationSystems,EquationSystem;LinearEquation,Bija: SystemOfTwoEquations.
MDL_WordProblemToEquation,Teksta uzdevuma matemātiskais modelis,Word problem modelling with equations,"Vārdiska situācija jāpārveido par vienādojumu (vai sistēmu) ar mainīgajiem. Pamatprasme: izvēlēties, ko apzīmēt ar $x$, izteikt visus pārējos lielumus caur to, sastādīt vienādību no uzdevuma nosacījuma.",Alg,EquationsAndInequalities,GR_7_9,MTH_AlgebraicModel,instanceOf:FormingEquations,VariableExpression;LinearEquation,Bija: WordProblemToEquation.
MDL_ParityInvariant,Paritātes invariants,Parity invariant,"Process, kurā pāra/nepāra īpašība saglabājas, pierāda, ka kāds gala stāvoklis nav sasniedzams. Klasika: ""papīra plēšana 5 vai 7 daļās"", ""skaitļiem pieskaita pa pārim"", ""figūru pārklāšana ar domino"" (krāsojuma paritāte).",Comb,GamesAndProcesses,GR_7_9,MTH_FixedInvariant,instanceOf:GameInvariant;usedIn:Games,Invariant;EvenOddParity,Bija: ParityInvariant.
MDL_ColoringInvariant,Krāsošanas invariants,Coloring invariant,"Pārklājuma vai pārvietošanās uzdevumos rūtiņas tiek krāsotas (parasti šaha galdiņa, vai 3-4 krāsās), un pierāda, ka pārklājošās figūras vienmēr aptver fiksētu krāsu skaitu — līdz ar to neiespējami sasniegt mērķi, kurā šī skaita atšķirība neder.",Comb,GamesAndProcesses,GR_7_9,MTH_AuxiliaryColoring,instanceOf:ColoringProblems;usedIn:GameInvariant,Coloring;ChessboardColoring;Invariant,Bija: ColoringInvariant.
MDL_ModularInvariant,Atlikuma (moduļa) invariants,Modular invariant,"Process, kurā atlikums pēc moduļa $n$ saglabājas (vai mainās paredzami), pierāda mērķa stāvokļa nesasniedzamību. Piem., skaitlim pieskaita 6 vai atņem 12 — atlikums modulo 3 saglabājas; vai monētu apmaiņas automāts ar invariantu modulo k.",Comb,GamesAndProcesses,GR_7_9,MTH_FixedInvariant,instanceOf:GameInvariant;usedIn:IntegerCongruence,Invariant;ModularArithmetic,Bija: ModularInvariant.
MDL_SumOrProductInvariant,Summas vai reizinājuma invariants,Sum or product invariant,"Procesā kāda saglabājas visu skaitļu summa, reizinājums vai kāda izteiksme no tiem. Piem., ja gājienā divus skaitļus aizstāj ar to summu un starpību, summas paritāte saglabājas; vai kvadrātu summas invariants aizstāšanā.",Comb,GamesAndProcesses,GR_7_9,MTH_FixedInvariant,instanceOf:GameInvariant,Invariant,Bija: SumOrProductInvariant.
MDL_MonovariantArgument,Pusinvariants (monotoni mainīgs lielums),Monovariant argument,"Lielums, kas vienmēr tikai pieaug (vai tikai samazinās) un ir ierobežots. Pierāda, ka process noteikti beigsies, vai sasniegs noteiktu galastāvokli. Piemēri: stikla bumbiņu skaits sarūk; nesakārtotības mērs samazinās šķirošanā.",Comb,GamesAndProcesses,GR_7_9,MTH_Monovariant,instanceOf:Games;usedIn:CombinatorialAlgorithms,Monovariant;StateSpaceProcess,Bija: MonovariantArgument.
MDL_SymmetryStrategyInGames,Simetrijas stratēģija spēlēs,Symmetry strategy in games,"Spēlētājs uzvar, atbildot ar gājienu, kas simetrisks pretinieka gājienam (pret asi vai centru). Piem., monētas no 2 vienādām kaudzītēm, gājieni 16 daļās sadalītā riņķī, gājieni $n×n$ tabulā ar pirmo gājienu centrā.",Comb,GamesAndProcesses,GR_7_9,,instanceOf:GamesSymmetry,SymmetryStrategy;GamePosition,Bija: SymmetryStrategyInGames.
MDL_PairingStrategyInGames,Pārošanas (sapārošanas) stratēģija,Pairing strategy in games,"Visi pieejamie objekti vai pozīcijas tiek sapāroti tā, ka uz katru pretinieka gājienu var atbildēt ar pāra otru pusi. Variantē simetrijas stratēģiju, kad simetrija nav acīmredzama.",Comb,GamesAndProcesses,GR_7_9,,instanceOf:Games;usedIn:GamesSymmetry,SymmetryStrategy;SetPartition,Bija: PairingStrategyInGames.
MDL_WinningLosingPositionAnalysis,Uzvarošu/zaudējošu pozīciju analīze,Winning/losing position analysis,"Spēles pozīciju klasifikācija no beigām uz priekšu: galastāvokļi → zaudējošas → uzvarošas. Lieto, ja simetrijas stratēģija nestrādā. Tipisks: viens kauliņš pārvietojas uz $1$ vai $2$ rūtiņām pretī otram kauliņam.",Comb,GamesAndProcesses,GR_7_9,,instanceOf:WinningStrategyCleanProofs;usedIn:Games,WinningLosingPositions;GameTree,Bija: WinningLosingPositionAnalysis.
MDL_SmallCaseGeneralization,Pāreja uz mazāku problēmu un vispārinājums,Reduction to smaller cases,"Aplūko mazas $n$ vērtības ($n=1, 2, 3, 4, \ldots$), pamana likumsakarību un to vispārina. Pamats induktīviem spriedumiem un rekurencu atrašanai. Tipiski olimpiāžu pirmais solis grūtos uzdevumos.",Alg,LogicalStructures,GR_4_6,,usedIn:AlgebraicTechniques,CaseAnalysis,Bija: SmallCaseGeneralization.
MDL_RecurrenceRelationModel,Rekurence un tās izpildīšana,Recurrence and its solution,"Objektu skaits, kas atkarīgs no parametra $n$, tiek atrasts, izsakot $a_n$ caur $a_{n-1}$ un/vai $a_{n-2}$. Klasika: pakāpienu kāpšana ar 1, 2 vai 3 soļiem; basketbola punkti ar 1 un 3 metieniem; taisnstūra $2 \times n$ pārklāšana ar domino. Bieži atdod Fibonači vai radniecīgu virkni.",Alg,Sequences,GR_7_9,,instanceOf:RecurrentSequences;usedIn:MethodOfRecurrentRelations,RecurrentSequence;FibonacciLikeSequence,Bija: RecurrenceRelationModel.
MDL_PeriodicityModel,Periodiskuma izmantošana,Periodicity exploitation,"Virknei vai procesam ir periods $T$; lai atrastu $n$-to locekli (vai stāvokli pēc $n$ soļiem), izmanto $n \bmod T$. Visizplatītākais — pakāpju pēdējā cipara periodiskums; ciparu summu virknes; rekurentu virkņu locekļi modulo $m$.",Alg,Sequences,GR_7_9,MTH_PeriodicInvariant,instanceOf:SequencePeriodicity;usedIn:PeriodicRemainders,PeriodicSequence;PeriodicRemainders,Bija: PeriodicityModel.
MDL_ArithmeticSeriesSum,Aritmētiskās virknes summa,Sum of arithmetic series,"$1 + 2 + \ldots + n = n(n+1)/2$ un vispārīgāk $S_n = n(a_1 + a_n)/2$. Lieto gan ""garu summu"" aprēķinos olimpiādēs, gan kombinatoriskos uzdevumos par pāru/trijnieku skaitu, gan ģeometriskos (rūtiņu, taisnstūru skaita aprēķinos).",Alg,Sequences,GR_7_9,,instanceOf:ArithmeticAndGeometricSeries,ArithmeticProgression;SequenceSum,Bija: ArithmeticSeriesSum.
